index_name,symbol,start_date,end_date
niftybank,HDFCBANK,01-01-2010,31-12-2099
niftybank,ICICIBANK,01-01-2010,31-12-2099
niftybank,AXISBANK,01-01-2010,31-12-2099
niftybank,KOTAKBANK,01-01-2010,31-12-2099
niftybank,SBIN,01-01-2010,31-12-2099
niftybank,INDUSINDBK,01-01-2010,31-12-2099
niftybank,BANKBARODA,01-01-2010,31-12-2099
niftybank,FEDERALBNK,01-01-2010,31-12-2099
niftybank,YESBANK,01-01-2010,27-03-2020
niftybank,BANDHANBNK,27-03-2020,31-12-2099
niftybank,PNB,01-01-2010,27-03-2020
niftybank,PNB,25-09-2020,31-12-2099
niftybank,AUBANK,30-09-2021,31-12-2099
niftybank,IDFCFIRSTB,29-09-2023,31-12-2099
niftybank,UNIONBANK,29-09-2023,31-12-2099
niftybank,CANBK,28-03-2024,31-12-2099
