index_name,symbol,start_date,end_date
niftyit,TCS,01-01-2010,31-12-2099
niftyit,INFY,01-01-2010,31-12-2099
niftyit,HCLTECH,01-01-2010,31-12-2099
niftyit,WIPRO,01-01-2010,31-12-2099
niftyit,TECHM,01-01-2010,31-12-2099
niftyit,OFSS,01-01-2010,31-12-2099
niftyit,LTIM,29-09-2017,31-12-2099
niftyit,COFORGE,31-07-2020,31-12-2099
niftyit,MPHASIS,30-09-2021,31-12-2099
niftyit,PERSISTENT,30-12-2022,31-12-2099
niftyit,LTTS,29-09-2023,31-12-2099
niftyit,MINDTREE,01-01-2010,13-11-2022
niftyit,HEXAWARE,01-01-2010,30-10-2020
