index_name,symbol,start_date,end_date
niftynext50,ABB,01-01-2010,31-12-2099
niftynext50,AMBUJACEM,01-01-2010,31-12-2099
niftynext50,APOLLOHOSP,01-01-2010,31-12-2099
niftynext50,BAJAJHLDNG,01-01-2010,31-12-2099
niftynext50,BANKBARODA,01-01-2010,31-12-2099
niftynext50,BEL,01-01-2010,31-12-2099
niftynext50,BOSCHLTD,01-01-2010,31-12-2099
niftynext50,CANBK,01-01-2010,31-12-2099
niftynext50,CHOLAFIN,01-01-2010,31-12-2099
niftynext50,COALINDIA,01-01-2010,31-12-2099
niftynext50,DLF,01-01-2010,31-12-2099
niftynext50,GAIL,01-01-2010,31-12-2099
niftynext50,GICRE,01-01-2010,31-12-2099
niftynext50,GODREJCP,01-01-2010,31-12-2099
niftynext50,GRASIM,01-01-2010,31-12-2099
niftynext50,HAL,01-01-2010,31-12-2099
niftynext50,HAVELLS,01-01-2010,31-12-2099
niftynext50,HEROMOTOCO,01-01-2010,31-12-2099
niftynext50,ICICIGI,01-01-2010,31-12-2099
niftynext50,ICICIPRULI,01-01-2010,31-12-2099
niftynext50,IOC,01-01-2010,31-12-2099
niftynext50,IRCTC,01-01-2010,31-12-2099
niftynext50,IRFC,01-01-2010,31-12-2099
niftynext50,JSWENERGY,01-01-2010,31-12-2099
niftynext50,JSWINFRA,01-01-2010,31-12-2099
niftynext50,LICI,01-01-2010,31-12-2099
niftynext50,LUPIN,01-01-2010,31-12-2099
niftynext50,MRF,01-01-2010,31-12-2099
niftynext50,MUTHOOTFIN,01-01-2010,31-12-2099
niftynext50,NMDC,01-01-2010,31-12-2099
niftynext50,OBEROIRLTY,01-01-2010,31-12-2099
niftynext50,PIDILITIND,01-01-2010,31-12-2099
niftynext50,PNB,01-01-2010,31-12-2099
niftynext50,RECLTD,01-01-2010,31-12-2099
niftynext50,SBICARD,01-01-2010,31-12-2099
niftynext50,SHREECEM,01-01-2010,31-12-2099
niftynext50,SIEMENS,01-01-2010,31-12-2099
niftynext50,SRF,01-01-2010,31-12-2099
niftynext50,TATAELXSI,01-01-2010,31-12-2099
niftynext50,TATAPOWER,01-01-2010,31-12-2099
niftynext50,TVSMOTOR,01-01-2010,31-12-2099
niftynext50,UNITDSPR,01-01-2010,31-12-2099
niftynext50,VBL,01-01-2010,31-12-2099
niftynext50,ZOMATO,01-01-2010,31-12-2099
niftynext50,ZYDUSLIFE,01-01-2010,31-12-2099
niftynext50,JIOFIN,01-01-2010,31-12-2099
niftynext50,TRENT,01-01-2010,31-12-2099
niftynext50,INDIGO,01-01-2010,31-12-2099
niftynext50,MAXHEALTH,01-01-2010,31-12-2099
niftynext50,SHRIRAMFIN,01-01-2010,31-12-2099
